datum	prob	*[+syllabic][+syllabic]	*[+word_boundary][-syllabic]	*[-syllabic][+word_boundary]	*[-word_boundary][+back]	*[-anterior][-high]	*[-high,-back][-word_boundary][+high]	*[+high][-word_boundary][-high]	*[-back,-tense][-word_boundary][-high,-tense]	*[-high][+anterior][+high]	*[+tense][-word_boundary][-high,+tense]	*[+tense][+dorsal][+tense]	*[+tense][-anterior][+tense]	*[-back,-tense][+dorsal][-tense]	*[-back,-tense][-anterior][-tense]	*[-syllabic][-syllabic]	*[+back][+word_boundary]	*[-high,-back][-anterior]
Ese	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esE	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ake	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
akE	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aki	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
akI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ase	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asE	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eke	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ekE	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iki	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ikI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISi	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iSI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aSi	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aSI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isi	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IsI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isi	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isI	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eee	0.0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
eea	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eeE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eek	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eei	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eeS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
eeI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ees	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eae	0.0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
eaa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eaE	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eak	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eai	0.0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
eaS	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eaI	0.0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
eas	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eEe	0.0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
eEa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eEE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eEk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eEi	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eES	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
eEI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eEs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eke	0.0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
eka	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ekk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
eki	0.0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ekS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ekI	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eks	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
eie	0.0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
eia	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eiE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eik	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eii	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eiS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eiI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eis	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eSe	0.0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
eSa	0.0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
eSE	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
eSk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
eSi	0.0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
eSS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
eSI	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
eSs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
eIe	0.0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
eIa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eIE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eIk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eIi	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eIS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eII	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
eIs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ese	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
esa	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
esk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
esi	0.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
esS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
esI	0.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ess	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
aee	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aea	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aeE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aek	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aei	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
aeI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aes	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aae	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aaa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aaE	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aak	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aai	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aaS	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aaI	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aas	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aEe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aEa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aEE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aEk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aEi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aES	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
aEI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aEs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aka	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
akk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
akS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
aks	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
aie	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aia	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aiE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aik	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aii	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aiS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aiI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ais	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aSe	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
aSa	0.0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
aSE	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
aSk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
